interval_id,source,window_index,channel_index,channel,start_sample_in_window,stop_sample_in_window_exclusive,start_seconds_in_window,end_seconds_in_window,start_seconds_in_recording,end_seconds_in_recording,duration_seconds,mean_probability,max_probability
m3_improved_prediction_w0000_c00_i000,m3_improved_prediction,0,0,Fpz,1276,1371,5.104,5.484,5.104,5.484,0.3799999999999999,0.6596222519874573,0.8806931972503662
m3_improved_prediction_w0000_c01_i000,m3_improved_prediction,0,1,Fp1,0,46,0.0,0.184,0.0,0.184,0.184,0.7458762526512146,0.9127556681632996
m3_improved_prediction_w0000_c01_i001,m3_improved_prediction,0,1,Fp1,59,63,0.236,0.252,0.236,0.252,0.016000000000000014,0.36375191807746887,0.37463632225990295
m3_improved_prediction_w0000_c01_i002,m3_improved_prediction,0,1,Fp1,96,155,0.384,0.62,0.384,0.62,0.236,0.5586332678794861,0.7789567112922668
m3_improved_prediction_w0000_c01_i003,m3_improved_prediction,0,1,Fp1,174,176,0.696,0.704,0.696,0.704,0.008000000000000007,0.36059772968292236,0.3667173385620117
m3_improved_prediction_w0000_c01_i004,m3_improved_prediction,0,1,Fp1,291,296,1.164,1.184,1.164,1.184,0.020000000000000018,0.4004209637641907,0.4112365245819092
m3_improved_prediction_w0000_c01_i005,m3_improved_prediction,0,1,Fp1,298,301,1.192,1.204,1.192,1.204,0.01200000000000001,0.36498305201530457,0.37504005432128906
m3_improved_prediction_w0000_c01_i006,m3_improved_prediction,0,1,Fp1,321,323,1.284,1.292,1.284,1.292,0.008000000000000007,0.3731186091899872,0.3796423673629761
m3_improved_prediction_w0000_c01_i007,m3_improved_prediction,0,1,Fp1,1003,1044,4.012,4.176,4.012,4.176,0.1640000000000006,0.5129717588424683,0.6142733693122864
m3_improved_prediction_w0000_c01_i008,m3_improved_prediction,0,1,Fp1,1055,1069,4.22,4.276,4.22,4.276,0.05600000000000005,0.42537736892700195,0.469105064868927
m3_improved_prediction_w0000_c01_i009,m3_improved_prediction,0,1,Fp1,1094,1146,4.376,4.584,4.376,4.584,0.2079999999999993,0.47508907318115234,0.5648546814918518
m3_improved_prediction_w0000_c01_i010,m3_improved_prediction,0,1,Fp1,1153,1155,4.612,4.62,4.612,4.62,0.008000000000000007,0.3595075309276581,0.3617672920227051
m3_improved_prediction_w0000_c01_i011,m3_improved_prediction,0,1,Fp1,1177,1253,4.708,5.012,4.708,5.012,0.3039999999999994,0.5484366416931152,0.7643412947654724
m3_improved_prediction_w0000_c01_i012,m3_improved_prediction,0,1,Fp1,1254,1448,5.016,5.792,5.016,5.792,0.7759999999999998,0.7839817404747009,0.9311836361885071
m3_improved_prediction_w0000_c01_i013,m3_improved_prediction,0,1,Fp1,1449,1458,5.796,5.832,5.796,5.832,0.03599999999999959,0.45436668395996094,0.6030325293540955
m3_improved_prediction_w0000_c01_i014,m3_improved_prediction,0,1,Fp1,1460,1564,5.84,6.256,5.84,6.256,0.41600000000000037,0.5510313510894775,0.6704747080802917
m3_improved_prediction_w0000_c01_i015,m3_improved_prediction,0,1,Fp1,1569,1574,6.276,6.296,6.276,6.296,0.020000000000000462,0.3691094219684601,0.3838770091533661
m3_improved_prediction_w0000_c01_i016,m3_improved_prediction,0,1,Fp1,1600,1716,6.4,6.864,6.4,6.864,0.4639999999999995,0.5528864860534668,0.6867834329605103
m3_improved_prediction_w0000_c01_i017,m3_improved_prediction,0,1,Fp1,1740,1781,6.96,7.124,6.96,7.124,0.1639999999999997,0.47926995158195496,0.6820881366729736
m3_improved_prediction_w0000_c01_i018,m3_improved_prediction,0,1,Fp1,1783,1877,7.132,7.508,7.132,7.508,0.37600000000000033,0.5708428621292114,0.7044833302497864
m3_improved_prediction_w0000_c01_i019,m3_improved_prediction,0,1,Fp1,1886,1890,7.544,7.56,7.544,7.56,0.016000000000000014,0.36319562792778015,0.36647287011146545
m3_improved_prediction_w0000_c01_i020,m3_improved_prediction,0,1,Fp1,1892,1895,7.568,7.58,7.568,7.58,0.012000000000000455,0.386425256729126,0.4014170467853546
m3_improved_prediction_w0000_c01_i021,m3_improved_prediction,0,1,Fp1,1901,1902,7.604,7.608,7.604,7.608,0.0039999999999995595,0.3628036677837372,0.3628036677837372
m3_improved_prediction_w0000_c01_i022,m3_improved_prediction,0,1,Fp1,1933,1935,7.732,7.74,7.732,7.74,0.008000000000000007,0.35756397247314453,0.36465194821357727
